@relation veh-prime-edited

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute Class {noncar,car}

@data
0.218,-0.932,-1.408427,-0.511693,-0.735067,-0.458638,0.131564,-0.806271,-0.147171,-0.244205,0.115651,0.431688,-0.252891,-1.117449,1.151686,0.48697,-1.033843,-0.005437,-0.548727,-1.317417,-1.118827,-0.20566,-0.982557,-0.017373,0.03494,-1.512037,-0.855033,0.071972,-0.877325,0.399548,-0.734089,-0.276603,0.787254,-0.011273,0.893622,-0.044351,noncar
0.294,-0.447,-1.64539,0.024231,-1.024399,-0.017244,0.034091,-0.992577,-0.753182,0.100006,-0.497848,-0.062787,0.097623,-1.44208,1.673733,-0.42724,-1.357332,-0.158384,-0.646178,-2.053736,-1.318671,-0.079316,-1.233538,-0.200493,0.146464,-1.753616,-1.062715,-0.967163,-0.404235,-0.748543,0.023375,1.493431,1.244021,-0.438897,0.830471,-0.084076,car
0.655,-0.69,0.186077,0.516066,-0.491746,-0.107941,-0.662794,0.087265,0.742834,-0.096166,-0.606253,0.036484,0.089798,-0.478858,0.211222,0.349476,-0.65297,-0.199941,0.454731,-0.000045,-0.314601,0.22355,-0.485612,0.014114,-0.393923,0.638648,-0.147187,-0.128057,-0.312571,-0.134921,0.018798,-0.228137,0.101271,0.704186,-0.120288,-0.846808,noncar
0.609,-0.568,-0.519896,0.095479,0.201613,0.158174,0.408887,-0.758068,-0.501202,-0.092625,0.362414,0.04706,-0.060758,-0.519166,0.425113,-0.843471,-0.661751,-0.028902,-0.154084,-0.3258,-0.540118,-0.182461,-0.499384,-0.286983,0.185201,-0.487733,-0.101805,-0.049384,0.241227,0.03261,-0.038759,-0.00094,-0.291184,0.074211,0.162784,-0.008311,noncar
-0.111,0.039,0.697953,0.002502,-0.253841,-0.092239,-0.027444,1.005863,1.161082,-0.316859,-0.763568,-0.176277,0.067118,0.200687,-0.513017,-0.448249,0.143874,-0.299008,-0.307738,0.418599,0.171025,0.779596,0.089075,-0.033173,0.159942,0.965819,-0.241261,1.058309,-0.065286,-0.084753,0.202192,-1.127028,1.280259,0.494756,0.441392,0.036372,noncar
0.029,0.282,1.613192,-0.015234,1.34355,-0.019009,0.042458,0.885338,0.379419,-0.222462,0.116257,0.269026,0.846893,1.073868,-1.112985,0.02397,1.027223,0.022236,-0.317724,1.180402,1.234286,-0.472406,1.094799,0.472503,-0.002489,2.128696,0.153401,-0.141523,-0.01503,-0.62022,0.289019,-1.204069,-0.470291,-0.969296,-0.128243,-0.018314,car
-0.469,-0.568,-1.436957,-0.027268,-2.001344,0.58557,-0.119194,-1.763271,-1.186023,0.114136,-0.61483,-0.099158,0.048626,-1.522635,2.097549,0.896853,-1.395546,-0.604256,-0.059907,-1.231223,-1.64621,0.051117,-1.286612,-0.298913,-0.206329,-1.466886,0.977783,0.443226,-0.922517,-0.140658,0.003718,0.06907,-1.211321,-0.704561,-1.533737,0.608517,noncar
-0.626,0.646,-0.56725,-0.065324,-0.245651,1.087867,-0.008756,0.844194,0.914461,0.370964,-0.551243,0.185732,0.731307,0.352519,-0.593103,0.924011,0.088414,0.018328,0.026862,-0.666665,0.504382,0.011861,0.308234,0.725444,0.577887,-0.780497,0.075296,0.152438,-0.496311,0.020329,-0.037082,-0.288444,1.488557,-0.018351,0.504798,0.344434,noncar
0.432,1.253,1.443606,0.135118,1.172167,-0.106559,0.513711,0.523723,-0.091283,0.537144,0.385227,-0.009554,0.203523,1.449314,-1.283874,0.146081,1.263992,-0.038611,-0.023648,1.748327,1.211555,-0.063773,1.469006,0.166097,-0.209722,1.444831,0.229881,0.08613,-0.306936,0.135323,0.788805,-0.207596,-0.642447,-0.06901,-0.156707,-0.001071,car
-0.182,0.889,1.805451,0.872947,1.138307,0.415242,0.440533,1.299674,0.915568,-0.008121,0.25701,-0.063172,0.13949,1.176661,-1.238596,0.038744,1.446254,0.006499,-0.444516,1.439502,1.242318,0.1082,1.12057,-0.048938,0.026751,1.463016,0.309406,-0.025517,-0.055963,-0.484893,-0.549111,-0.886028,-0.430152,0.017173,-0.367911,-0.809223,car
0.975,-1.175,0.303095,0.007748,-0.49815,-0.15003,0.18074,-0.393465,0.359343,0.138764,-0.656886,-0.051219,0.027094,-0.495208,0.206394,0.984611,-0.622011,-0.114115,-0.544932,-0.180861,-0.442432,0.249907,-0.393001,0.161908,0.012153,0.400742,0.342441,-0.016293,-1.301764,-0.06542,-0.367289,-1.121755,-0.612718,0.326302,-0.485024,0.076239,noncar
0.006,-1.175,-1.281822,-0.399282,-1.841278,-0.151843,0.10063,-1.424283,-0.372348,0.158598,-0.862169,-0.561479,0.005942,-1.319465,1.84281,-0.062106,-1.38647,0.450563,-0.031226,-1.516892,-1.676485,-0.570468,-1.318931,0.843269,-0.504857,-1.410724,1.287682,0.001936,0.088506,0.086691,-0.029374,-1.222276,-1.651764,0.042504,-1.763416,-0.129016,noncar
0.019,0.039,-0.289171,0.240307,-1.139005,-0.087594,-0.084824,0.101643,0.917288,0.820907,-0.327696,-0.397712,-0.064962,-0.519358,0.315464,0.322085,-0.597183,-0.228433,-0.058398,-0.335074,-0.568993,0.019114,-0.575304,1.006908,-0.126357,0.212138,-0.644497,-0.27922,0.523814,-0.196678,0.087849,-1.200128,1.652458,0.279707,1.393936,0.246812,noncar
0.005,-0.811,-0.999439,0.109836,-0.826447,-0.842125,-0.634182,-0.524546,-0.066797,-0.291975,-0.221752,0.249454,0.026367,-0.831359,0.713655,0.828128,-0.915387,-0.342332,0.4659,-0.7642,-0.717361,0.625791,-0.735134,0.040606,0.453834,-1.001956,-0.409824,-0.455883,-1.08416,0.116374,0.447224,-1.208756,0.476752,0.918723,0.516052,-0.043706,noncar
0.457,0.646,1.302059,-0.343189,1.564168,-0.008178,0.042233,1.493731,0.4637,-0.266182,0.585185,-0.913496,-0.008718,1.050739,-1.171467,0.01745,0.968798,-0.041318,0.165176,1.21643,1.018833,-1.055822,1.088336,0.871055,-0.040917,1.436115,-0.523082,-0.107189,-1.260147,0.041161,0.184832,-0.745728,0.336981,-0.036073,0.712684,-0.052781,car
0.316,-1.054,0.010191,-0.13665,-0.112285,0.035621,-0.013822,-0.518534,0.267823,-0.012762,0.177631,0.004675,-0.140667,-0.645107,0.471914,-0.723926,-0.578068,0.006563,-0.031687,-0.042045,-0.631502,0.01159,-0.624543,0.193375,0.03338,-0.120813,-0.165868,-0.060669,-1.058307,0.025216,0.171845,-0.973478,-0.177398,-0.497125,0.524496,0.211666,noncar
0.001,-1.297,-1.467883,0.027262,-1.696382,-0.184043,0.890224,-1.512261,-0.568227,-0.081561,-0.553043,-0.361386,0.480912,-1.309955,1.590734,-0.097359,-0.985463,-0.194628,0.731478,-1.533721,-1.458451,-0.550792,-1.124847,-0.796813,-0.036102,-1.070333,1.305977,0.020996,-0.117777,0.105913,0.081275,-1.113343,-1.636515,0.311481,-1.737555,-0.155545,car
-0.65,1.618,1.421619,-0.008026,0.953359,-0.023166,0.035635,0.903584,0.477307,-0.002579,0.5989,0.191871,-0.087405,1.465093,-1.228346,0.182245,1.675778,-0.684,-0.012495,1.25781,1.363809,-0.048394,1.476787,0.336362,-0.00061,1.254457,-0.051321,-1.102085,-1.073616,-0.657305,0.343762,1.725999,-0.358414,0.005292,0.438113,0.738132,car
0,1.011,-0.049061,-1.030442,0.266787,0.006164,0.07195,0.77147,0.300084,0.037089,-0.571562,-0.008905,-0.121927,0.766962,-1.014894,0.373828,0.554009,0.045239,-0.151257,-0.128911,0.910439,-0.009201,0.681573,0.137682,0.017725,-0.385676,0.488078,0.056153,-0.071673,0.327161,0.049251,-0.596411,1.038381,0.041069,-0.305903,0.541435,noncar
0.144,-1.661,-1.119675,-0.011502,-1.278048,-0.010297,0.02971,-1.213824,-0.882642,-1.030589,-0.31034,-0.054698,-0.875372,-0.767755,0.648793,0.051497,-0.627922,0.075495,-0.117462,-1.260834,-0.760347,0.034859,-0.711815,-0.015163,0.526876,-0.413869,1.447513,-0.032771,0.517271,-0.002949,0.345977,0.815809,-1.41533,0.012311,-1.482522,-0.290866,car
-0.006,-0.568,-0.315453,0.037253,0.152439,0.028653,-0.074331,-0.304128,0.364126,0.048871,0.515634,-0.509219,0.12458,-0.391456,0.197544,0.158413,-0.681241,-0.035123,-0.446815,0.30592,-0.542275,0.078394,-0.350041,-0.372234,-0.673284,-0.0107,-0.010334,0.08947,-0.314986,-0.013108,-1.009007,-0.377136,-0.691366,-0.08144,-0.011273,-0.438852,noncar
-0.668,-0.69,-0.352432,0.068806,-0.295877,-0.554579,-0.889093,-0.482376,-0.479074,0.183759,-0.150465,0.082675,0.00504,-0.772363,0.766589,-0.010915,-1.120332,-0.015929,0.039395,-0.317128,-0.808229,-0.628072,-0.955502,0.395886,0.030991,-0.604995,-1.187824,0.107957,0.739649,-0.523906,-0.058782,-0.144665,1.531902,-0.045816,1.291202,0.41216,car
-0.375,-0.082,-1.719738,0.637794,-1.0176,0.57469,0.002862,-0.528554,-0.340437,0.339394,-0.551365,-0.032289,0.001749,-0.838049,0.715327,-0.108507,-0.932323,0.657193,-0.163961,-1.42955,-0.801357,0.351802,-0.780743,-0.037556,0.099329,-1.600616,-1.162025,-0.797407,-0.233295,0.175153,0.484525,0.100023,1.477186,0.118715,0.858846,0.054985,car
-0.67,0.889,0.514636,-0.212321,1.462096,-0.215053,0.088155,1.611771,0.808096,-0.043664,0.287193,0.566973,-0.204218,1.155312,-1.189813,0.450305,1.371987,0.49703,-0.335627,0.388834,1.484992,0.084633,1.133122,0.126422,-0.072298,0.919415,-0.348117,0.002331,-0.207006,0.016075,-0.107239,2.839394,0.131387,-0.009339,0.926927,0.938458,car
0,-0.811,-1.093478,-0.031188,0.129721,0.829385,0.455722,0.137779,-0.091146,-0.786366,-0.057576,-0.314551,-0.012695,-0.135127,-0.143501,-0.195637,-0.19258,-0.47059,-0.317139,-1.341254,-0.130747,0.018136,-0.259326,-0.359389,0.071449,-1.354013,-1.360191,0.071076,-1.171944,-0.02434,-0.029461,1.367167,1.453983,-0.049659,1.201853,-0.491403,car
-0,0.768,0.251982,-0.347954,0.543892,0.547461,-0.360098,0.057892,0.645922,0.015466,0.103751,0.226184,-0.135337,-0.330284,0.257528,0.012513,-0.197179,0.148481,-0.718677,0.141017,-0.67365,0.062224,-0.441836,-0.260971,0.640532,0.306274,-0.656046,0.016816,2.207613,0.228786,-0.012638,-0.637991,0.405071,-0.368292,0.597791,-0.214107,noncar
0.152,-1.418,-0.114907,-0.53019,-0.535606,-0.014117,0.070643,-1.582211,-1.205274,0.216523,-0.32099,0.310817,-0.04986,-0.487138,0.376737,-0.411026,-0.599323,-0.026611,0.586881,-0.041603,-0.439647,-0.160192,-0.559901,0.066688,0.031509,0.08185,1.33063,0.240839,-0.920123,0.01672,0.099674,-1.187888,-1.448959,0.427131,-1.38272,0.260746,noncar
0.132,-0.447,0.466789,-0.093194,0.293742,-0.259258,0.61828,4.168099,8.09377,-0.29588,8.770118,0.105139,-0.386693,-0.551642,0.302714,-0.047513,-0.664942,-0.020736,0.205075,0.593257,2.578445,0.052628,-0.543546,0.017348,0.029576,0.745328,6.091654,-0.021662,-1.273928,-0.481424,-0.808058,0.209482,-0.620421,-0.030732,-0.19864,-0.905672,noncar
0.192,1.496,1.319,0.055199,0.99519,0.130656,-0.215275,0.299308,-1.000045,0.064191,0.373824,-0.198343,0.191771,1.380798,-1.297019,-0.98866,1.258902,-0.153269,-0.571571,1.524641,1.493481,-0.181752,1.417059,0.99431,-0.019327,1.342331,0.191684,-0.226874,-1.093198,-0.119205,-0.03507,-0.457279,-0.237925,-0.057282,0.211884,-0.227104,car
-0.001,-1.54,0.049118,0.328404,-0.853174,-0.615923,0.010686,-0.014471,1.412572,0.07147,-0.594598,0.064781,-0.704897,-0.531937,0.364761,0.124445,-0.646162,0.7552,-0.076067,-0.119258,-0.554826,0.494205,-0.642258,0.000873,0.513536,0.250023,0.302131,-0.081249,0.165867,0.0169,0.322454,-1.464747,-0.996024,0.061252,-0.919266,0.498443,noncar
0.344,0.16,0.493325,-0.555164,1.33181,-0.045293,0.365252,1.388037,0.626283,-0.047823,0.127012,-0.022863,-0.161594,1.072137,-1.159721,-0.520841,0.901074,-0.517771,-0.002065,0.254117,1.205075,0.827834,1.093746,0.000671,-0.291795,0.844703,0.219551,-0.264159,-0.304656,-0.197273,0.520535,-0.402281,-0.429097,0.00003,-0.343666,-0.649074,car
0.008,-0.69,-1.235449,-0.043666,-1.945504,-0.063887,-0.086981,-1.918999,-1.224774,-0.242813,-0.792544,-0.129617,0.035707,-1.442083,2.037166,-0.17091,-1.424103,0.494258,-0.081146,-1.395563,-1.691951,-0.941962,-1.349945,-0.943203,0.047502,-1.621267,1.828673,0.113622,0.360427,-0.258334,-0.694844,0.376541,-1.645071,0.906929,-1.730253,0.056439,noncar
0.005,0.039,0.577595,0.111186,0.243627,0.145037,-0.571008,-0.925597,-0.967815,0.251005,0.482028,0.135379,0.090792,-0.342106,0.265297,0.046752,-0.291909,-0.951664,0.015307,0.987987,-0.368115,0.023835,-0.473392,-0.095969,-0.134514,0.359154,0.319724,0.264834,-0.264288,-0.328886,0.09654,-0.884762,-0.972055,0.271559,-0.24543,-0.405382,noncar
0.019,-0.082,-1.187441,-0.076157,-0.386468,-0.180228,0.07078,0.382358,0.169777,-0.035179,-0.147467,-0.066408,-0.089067,-0.164506,-0.169857,-0.051376,-0.196015,0.366291,0.004236,-0.966426,0.153236,0.092281,-0.092693,-0.060419,-0.235805,-1.132274,-0.742669,0.719841,-0.518565,-0.323166,0.056703,-0.547519,0.497126,-0.029313,0.225943,-0.046039,car
0.347,3.075,1.554384,0.639168,1.509465,-0.537519,-0.014337,1.439583,0.411218,0.028209,0.70577,-0.791622,-0.03488,1.420481,-1.187445,0.291375,1.344821,0.305884,0.105399,1.329774,1.127352,-0.618994,1.301631,-0.003566,-0.057472,1.778231,-0.833838,-0.002031,2.820265,0.041132,-0.044893,-1.321374,0.408604,0.25371,0.790987,0.017643,car
0,-0.082,0.167216,-0.10843,0.034104,-0.022402,-0.068431,-0.805155,-0.440457,-0.142153,0.518365,-0.059082,0.887737,-0.300083,0.249178,0.276839,-0.147848,0.978957,-0.371263,0.791906,-0.245339,-0.848896,-0.413997,-0.008272,-0.338095,0.413852,0.569801,-0.567416,-0.879437,0.685638,-0.226044,-0.989031,-1.004587,-0.057225,-0.223847,-0.189363,noncar
0.543,-0.325,-0.271433,-0.084694,-0.781148,-0.124033,0.084924,-1.054844,-0.763899,0.446863,-0.139957,0.042867,-0.029746,-1.217014,1.362257,-0.52013,-0.912283,0.106896,0.846844,-0.128727,-0.922099,-0.644261,-1.154161,0.569044,0.544907,-0.586288,-0.326377,-0.01106,-1.136657,-0.591333,0.010944,-0.549681,0.091585,-0.041882,-0.208425,-0.087832,noncar
-0.056,-1.054,-0.461601,0.001486,-0.9599,0.614722,0.080125,-1.28962,-0.924695,-0.022515,-0.542392,0.084891,-0.079909,-0.627119,0.72218,0.356484,-0.642964,-0.054844,0.120612,-0.458583,-0.462111,0.065937,-0.676021,-0.005702,-0.818658,-0.050277,2.006756,0.087045,-0.027792,0.015431,-0.170742,0.220436,-1.40065,-0.008348,-1.822051,-0.025885,noncar
0.187,-0.568,0.305543,0.545587,-0.078837,-0.009817,0.166926,-0.641529,0.135254,-0.302936,0.557258,-0.081206,-0.933371,-0.397621,0.399446,-0.795416,-0.197567,0.595195,0.007433,1.034976,-0.532774,0.024018,-0.550409,0.198958,-0.081438,0.41417,0.475328,0.545466,-0.08051,-0.198557,0.121649,0.115021,-0.797344,-0.107117,-0.427199,-0.221854,noncar
0.397,-0.325,0.026386,-0.601388,-0.154174,0.005969,-0.048676,0.18477,-0.285023,0.079239,0.086629,-0.059288,0.004757,-0.140451,-0.178912,0.170484,-0.229156,-0.038301,-0.747356,0.035807,-0.07941,0.411631,-0.237694,0.266401,-0.027618,0.23292,-1.43892,0.074653,-1.208064,-0.449369,-0.113365,-0.322146,1.647486,0.046383,1.719403,-0.009344,car
-0.915,-1.904,-1.061982,0.051659,-1.17067,0.03367,-0.141061,-1.516399,-1.44949,-0.051542,-0.559295,0.150005,-0.840375,-0.784342,0.668675,0.089914,-0.595547,-0.809041,-0.830533,-1.264084,-0.823328,0.122337,-0.759733,-0.010055,0.067049,-0.827288,0.591379,0.055993,-0.892133,-0.552381,0.133538,-0.943671,-1.283878,0.359264,-1.358684,-0.060167,car
-0.075,-0.204,-1.131055,0.00964,-0.795044,-0.008937,-0.044316,0.162865,0.457044,0.31783,-0.326545,0.049778,0.064381,-0.462634,0.188909,-0.077016,-0.510478,-0.04817,0.017306,-1.035625,-0.378218,0.038365,-0.454155,0.010507,0.117066,-1.290878,-0.346764,-0.681665,-0.480676,-0.057255,-0.541282,1.304452,-0.043906,-0.072735,-0.091814,-0.136428,car
0.133,0.525,1.624217,-0.306591,1.200877,-0.030539,-0.134775,1.769072,1.059388,-0.045096,0.067006,0.045386,0.388589,1.218777,-1.286644,1.090741,1.401736,-0.035774,-0.006508,1.364386,1.481241,-0.539989,1.214364,0.028607,0.01279,2.128627,-0.048032,-0.950282,-1.042955,0.148829,0.124139,-0.810333,-0.144473,0.821808,0.171088,-0.299128,car
-0.007,0.889,-0.467724,0.73397,-1.272204,0.721522,0.019818,0.193629,0.605449,-0.102714,-0.522592,0.024691,0.873717,-0.623516,0.273024,-0.093405,-0.58584,-0.26507,-0.070467,-0.604601,-0.624925,-0.090315,-0.532214,-0.566423,-0.107799,-0.21694,-1.038233,0.483751,0.193052,-0.762779,-0.250662,-0.270544,2.110733,0.643813,1.800215,0.251152,noncar
0.802,0.889,1.826675,-0.366623,1.350063,0.727124,0.056428,0.473381,-1.024302,-0.179787,-0.515889,0.041761,0.162047,2.719515,-1.951143,0.143435,2.912363,-0.034522,-0.215938,1.289967,2.793855,0.898956,2.942614,-0.183581,-0.016647,1.757907,1.408836,0.587814,-0.221445,0.769544,0.037093,1.422268,-1.516037,-0.506147,-1.630825,-0.027735,noncar
-0,0.039,-1.372081,-0.055915,-1.011029,-0.22639,0.16583,-0.551474,-0.053152,-0.136884,-0.112821,-0.048857,-0.023571,-0.977239,1.13513,0.054363,-0.96424,0.01692,-0.158693,-0.838489,-1.028943,-0.045767,-0.99679,-0.757619,0.737107,-1.729744,-1.365524,0.03812,0.49374,0.033394,0.091387,-0.954348,1.941799,0.038979,1.689872,0.089661,noncar
-0.03,0.403,-0.171734,0.039292,0.809223,-0.005358,-0.405861,0.707252,0.125427,0.433191,0.213735,0.041455,0.007989,0.483123,-0.497172,0.686656,0.538411,0.914496,-0.79666,-0.285887,0.415017,0.109281,0.360945,0.268956,0.006439,-0.325216,-0.857623,-0.087941,-0.457814,-0.075651,0.036158,-0.503485,0.409218,0.021563,0.477289,0.091588,car
-0.159,-0.568,0.37242,-0.870044,0.148809,0.198005,-0.222773,-1.048919,-0.931163,0.748915,0.574873,-0.055153,-0.085813,-0.327767,0.40676,0.321128,-0.236054,0.05927,-0.268995,0.765971,-0.54983,-0.814768,-0.461762,0.227371,-0.514162,0.054388,0.09938,0.177275,-0.390484,-0.018399,-0.014592,-0.390139,-1.059346,0.43259,-0.488059,0.025156,noncar
0.135,1.618,1.329806,-1.021144,1.351489,-0.012169,0.002417,1.550261,0.562533,-0.226533,0.523386,0.076905,0.024526,1.225977,-1.20458,0.940136,1.281527,-0.048542,0.008623,1.015819,0.988881,-0.760821,1.129359,0.963933,-0.029948,1.135709,-0.852964,-0.001795,-1.285908,0.142557,-0.003164,-1.309884,0.303392,-0.141354,0.749762,-0.853594,car
-0.082,-1.054,-1.042931,-0.102724,-0.877978,0.83324,0.047991,-1.432346,-1.167752,0.36505,-0.793109,0.078268,0.120833,-1.253598,1.574362,0.17508,-0.919942,-0.030056,-0.024154,-0.818562,-1.336808,-0.623022,-1.105751,-0.09838,-0.018041,-0.945501,0.336146,-0.804149,0.219777,-0.085298,0.488933,-0.540851,-1.144579,-0.811187,-1.190673,0.022186,noncar
-0.195,1.132,0.812034,0.052407,1.132829,-0.327785,0.018314,1.267559,0.170809,-0.498318,0.082391,0.698125,-0.938821,0.700842,-0.937092,0.430572,0.499948,-0.327519,0.034504,0.885601,0.766565,0.020758,0.719641,0.273537,-0.567598,0.352446,-1.177435,-0.536499,-0.246591,-0.023921,-0.0871,-0.760337,1.352575,-0.569294,1.192691,-0.196635,car
-0.067,-2.025,-1.118616,0.066687,-1.192383,0.271609,-0.032908,-1.109318,-0.248159,-0.083867,-0.800086,1.016547,-0.600118,-1.192069,1.295073,-0.036092,-1.017834,-0.78599,0.69786,-1.252084,-1.384298,0.608384,-1.153586,0.855319,-0.76485,-1.108102,0.816429,0.758589,1.324366,-0.155025,-0.062156,0.896263,-0.991534,-0.024778,-1.070754,-0.361651,car
0.012,0.282,-0.789979,-0.009871,-0.762626,-0.008036,-0.787118,-1.466981,-1.455311,-0.138669,-0.066561,-0.137643,-0.698172,-1.054208,1.167806,-0.585341,-1.006073,-0.358423,-0.507277,-0.48823,-0.821614,-0.078627,-1.019654,0.032181,-0.084144,-1.178135,0.996523,0.057469,0.662687,0.742651,-0.027508,0.058209,-1.04765,-0.053128,-1.785671,-0.169452,noncar
-0.196,-1.297,-0.4477,0.135732,-1.056613,-0.029206,0.05334,-0.302023,0.712918,0.543692,-0.375891,0.875413,1.00489,-0.604873,0.480621,-0.075684,-0.654379,0.032994,-0.125176,-0.246954,-0.458208,-0.020316,-0.479189,-0.066407,0.097882,-0.466373,0.852089,-0.29871,-0.436161,-0.131618,0.218246,-1.072482,-1.190643,0.32953,-1.041763,-0.911964,noncar
-0.452,-0.082,-0.080016,-0.180736,0.262857,-0.023593,-0.631796,0.938829,0.910696,0.018871,-0.345056,0.970834,-0.410197,0.478674,-0.758996,0.029299,0.624674,-0.227779,-0.064796,-0.141559,0.523071,0.042708,0.368049,-0.021128,0.271035,0.196979,-0.139795,0.084408,-1.281299,-0.771962,-0.050866,-0.981935,0.844689,0.801322,0.22533,0.418335,noncar
